niter      src_light_term      dpsi_term      chi2_image
1      7458.89      -5363.00      22838.02
2      7157.66      1704.95      17953.23
3      7355.03      1117.68      14863.95
4      7330.05      682.50      13308.91
5      7213.28      442.07      12167.63
6      7067.05      360.72      11445.38
7      7005.66      294.23      11238.51
8      6787.81      231.88      10532.64
9      6577.94      206.31      10177.26
10      6779.01      159.97      10147.73
11      6546.55      160.40      9826.65
12      6415.90      158.92      9541.64
13      6363.85      144.90      9218.04
14      6280.97      157.29      9142.19
15      6332.37      132.40      9188.87
16      6072.86      122.28      8872.80
17      5868.63      145.01      8679.84
18      5540.86      118.58      8408.53
19      5516.62      115.34      8290.23
20      5448.17      110.00      8104.32
21      5403.58      100.31      7927.06
22      5242.48      98.18      7780.31
23      5292.68      16.99      7761.49
24      5378.39      94.07      7696.63
25      5403.04      86.58      7636.27
26      5320.81      80.31      7384.79
27      5339.80      67.12      7241.30
28      5295.05      70.09      7214.31
29      5177.19      71.84      7103.69
30      5096.83      58.76      7047.61
31      5134.67      57.02      7010.10
32      5134.27      52.67      6896.60
33      5093.67      59.81      6926.96
34      5062.85      47.18      6825.33
35      5052.14      44.61      6761.94
36      4887.43      43.94      6565.40
37      4788.80      43.78      6465.38
38      4729.24      38.14      6492.72
39      4732.06      37.44      6509.12
40      4769.10      35.44      6508.45
41      4747.35      33.65      6357.98
42      4770.29      32.32      6317.67
43      4775.77      35.46      6274.56
44      4718.67      34.68      6209.88
45      4665.10      38.29      6088.70
46      4627.82      34.14      6061.18
47      4586.67      32.09      5956.66
48      4527.42      29.88      5937.14
49      4540.91      26.15      5872.03
